class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Predicate,subkind,subkind,False,True,False,1,0,4
Matter,quantity,kind,True,False,False,0,4,4
Mathematics,subkind,subkind,False,True,False,2,0,20
FirstPhilosophy-Metaphysics,subkind,subkind,False,True,False,2,0,20
NaturalMotion,event,other,False,True,False,1,0,6
Biology,subkind,subkind,False,True,False,4,0,20
SpokenWord,subkind,subkind,False,True,False,1,0,2
Moved(PassiveObject),role,role,False,True,False,1,0,5
ActiveIntellect,role,role,False,True,False,1,0,4
SublunaryBody,subkind,subkind,False,True,False,1,0,5
Object,kind,kind,True,False,False,0,5,5
DifferentiaForSpecies,role,role,False,True,False,1,0,2
FinalCause,subkind,subkind,False,True,False,1,0,4
IntelectualVirtue,subkind,subkind,False,False,True,1,2,4
Mover(ActiveObject),role,role,False,True,False,1,0,5
ResidentPerson,kind,kind,True,False,False,0,5,5
Cause,kind,kind,True,False,False,0,4,4
SublunaryMatter,subkind,subkind,False,False,True,1,2,4
Being,mixin,mixin,True,False,False,0,4,4
ForcedMotion,event,other,False,True,False,1,0,6
Denial,subkind,subkind,False,True,False,1,0,4
Premise,role,role,False,True,False,1,0,4
Virtue,mode,kind,True,False,False,0,4,4
Extreme,role,role,False,True,False,1,0,4
Before&After,mode,kind,True,False,False,0,3,3
Species,subkind,subkind,False,False,True,2,1,3
HighestGoal,subkind,subkind,False,True,False,1,0,5
WrittenWord,subkind,subkind,False,True,False,1,0,2
Lawgiver,role,role,False,True,False,3,0,5
Arts,subkind,subkind,False,False,True,2,3,20
Polity,subkind,subkind,False,True,False,2,0,8
Psychology,subkind,subkind,False,True,False,3,0,20
Word,kind,kind,True,False,False,0,2,2
Subject,subkind,subkind,False,True,False,1,0,4
FormalCause,subkind,subkind,False,True,False,1,0,4
TheroraticalWisdom,subkind,subkind,False,True,False,2,0,4
Future,phase,phase,False,True,False,2,0,4
Music,subkind,subkind,False,True,False,3,0,20
DeviantForm,subkind,subkind,False,False,True,1,3,8
Kingship,subkind,subkind,False,True,False,2,0,8
Potentiality,relator,kind,True,False,False,0,2,2
ChangeInQuantity,event,other,False,True,False,1,0,6
Citizen,role,role,False,False,True,1,3,5
Differentia,mode,kind,True,False,False,0,2,2
WeakPerson,subkind,subkind,False,True,False,2,0,6
Democraty,subkind,subkind,False,True,False,2,0,8
AccidentalUniversal,kind,kind,False,False,True,1,1,4
Change,event,other,True,False,False,0,6,6
Before&AfterInTime,subkind,subkind,False,True,False,1,0,3
ChangeInQuality,event,other,False,True,False,1,0,6
ActivePotentiality,role,role,False,True,False,1,0,2
EssentialParticular-PrimarySubstance,kind,kind,False,True,False,1,0,4
Agriculture,subkind,subkind,False,True,False,2,0,20
TheoreticalMind,subkind,subkind,False,True,False,1,0,4
Aether,subkind,subkind,False,True,False,1,0,4
Passive_Intellect,role,role,False,True,False,1,0,4
EfficientCause,subkind,subkind,False,True,False,1,0,4
EssentialUniversal-SecondarySubstance,kind,kind,False,True,False,1,0,4
EvilPerson,subkind,subkind,False,True,False,1,0,6
VirtuousPerson,subkind,subkind,False,True,False,1,0,6
Mind,kind,kind,True,False,False,0,4,4
NaturalPhilosophy-Physics,subkind,subkind,False,False,True,2,5,20
DifferentiaForGenus,role,role,False,True,False,1,0,2
Ruler,role,role,False,True,False,3,0,5
Wealth,subkind,subkind,False,True,False,2,0,5
Pleasure,subkind,subkind,False,True,False,2,0,5
Science-Knowledge,category,category,True,False,False,0,20,20
Conclusion,role,role,False,True,False,1,0,4
ChangeInPlace,event,other,False,True,False,1,0,6
SubordinateGoal,subkind,subkind,False,False,True,1,3,5
PassivePotentiality,role,role,False,True,False,1,0,2
Goal,kind,kind,True,False,False,0,5,5
FormedMatter,phase,phase,False,True,False,2,0,4
Assertion,kind,kind,True,False,False,0,4,4
Present,phase,phase,False,True,False,2,0,4
Water,subkind,subkind,False,True,False,1,0,4
Genus,subkind,subkind,False,False,True,1,2,3
TheoreticalSciences,kind,kind,False,False,True,1,8,20
Tiranny,subkind,subkind,False,True,False,2,0,8
Number,quantity,kind,True,False,False,0,4,4
Particular,subkind,subkind,False,True,False,3,0,3
Aristocracy,subkind,subkind,False,True,False,2,0,8
PracticalWisdom,subkind,subkind,False,True,False,2,0,4
Air,subkind,subkind,False,True,False,1,0,4
Universe,subkind,subkind,False,True,False,1,0,5
Politician,role,role,False,False,True,2,2,5
Element,kind,kind,True,False,False,0,4,4
ConstitutionalForm,mode,kind,True,False,False,0,8,8
MaterialCause,subkind,subkind,False,True,False,1,0,4
Dance,subkind,subkind,False,True,False,3,0,20
IncontinentPerson,subkind,subkind,False,False,True,1,2,6
PrimeMatter,subkind,subkind,False,True,False,2,0,4
SpecialSciences,subkind,subkind,False,False,True,3,3,20
Politics,subkind,subkind,False,True,False,2,0,20
Past,phase,phase,False,True,False,2,0,4
Before&AfterInChange,subkind,subkind,False,False,True,1,1,3
MiddleTerm,role,role,False,True,False,1,0,4
Ethics,subkind,subkind,False,True,False,2,0,20
Ship-building,subkind,subkind,False,True,False,2,0,20
Oligarchy,subkind,subkind,False,True,False,2,0,8
Botany,subkind,subkind,False,True,False,4,0,20
AccidentalParticular-NonSubstantialParticular,role,role,False,True,False,2,0,4
Non-Citizen,role,role,False,True,False,1,0,5
EthicalVirtue,subkind,subkind,False,True,False,1,0,4
Earth,subkind,subkind,False,True,False,1,0,4
Fire,subkind,subkind,False,True,False,1,0,4
Term,kind,kind,True,False,False,0,4,4
Health,subkind,subkind,False,True,False,2,0,5
Person,kind,kind,True,False,False,0,6,6
PracticalMind,subkind,subkind,False,True,False,1,0,4
Affirmation,subkind,subkind,False,True,False,1,0,4
CelestialBody,subkind,subkind,False,True,False,1,0,5
PracticalSciences,kind,kind,False,False,True,1,2,20
ChangeInSubstance,event,other,False,True,False,1,0,6
Theatre,subkind,subkind,False,True,False,3,0,20
Time,subkind,subkind,False,False,True,1,3,4
ContinentPerson,subkind,subkind,False,True,False,1,0,6
ImpetuousPerson,subkind,subkind,False,True,False,2,0,6
CorrectForm,subkind,subkind,False,False,True,1,3,8
Medicine,subkind,subkind,False,True,False,2,0,20
AstronomicalTheory,subkind,subkind,False,True,False,4,0,20
ProductiveSciences,kind,kind,False,False,True,1,7,20
SupremeGenus-HighestKind,kind,kind,True,False,False,0,3,3
Before&AfterInPlace,subkind,subkind,False,True,False,2,0,3
