class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Client_Path_Layer,role,role,False,False,True,3,2
Client_Section_Layer,role,role,False,True,False,4,0
Composed_PM_Layer,role,role,False,True,False,3,0
LC_Composed_Layer_Network,role,role,False,True,False,1,0
Layer_Network,kind,kind,True,False,False,0,17
Matrix_Composed_Path_Layer,role,role,False,True,False,2,0
Path-Path_Client_Layer,role,role,False,True,False,4,0
Path-Section_Client_Layer,role,role,False,True,False,4,0
Path_Layer_Network,role,role,False,True,False,2,0
Path_Layer_Network_2,subkind,subkind,False,False,True,1,7
Physical_Media_Layer_Network,subkind,subkind,False,False,True,2,2
Related_Layer_Network,role,role,False,False,True,1,7
Section_Layer_Network,subkind,subkind,False,False,True,2,2
Server_Path_Layer,role,role,False,True,False,3,0
Server_Physical_Media_Layer,role,role,False,True,False,4,0
Server_Section_Layer,role,role,False,True,False,4,0
Subnetwork_Composed_Path_Layer,role,role,False,True,False,2,0
Transmission_Media_Layer_Network,subkind,subkind,False,False,True,1,6
